Patient_ID	Gene	Value	Hypermethylated
TCGA-A7-A426	AKT1	0.0162	FALSE
TCGA-A7-A4SA	AKT1	0.0212	FALSE
TCGA-A7-A4SB	AKT1	0.02175	FALSE
TCGA-A7-A4SC	AKT1	0.02085	FALSE
TCGA-A7-A4SD	AKT1	0.01985	FALSE
TCGA-A7-A4SE	AKT1	0.025599999999999998	FALSE
TCGA-A7-A4SF	AKT1	0.0162	FALSE
TCGA-A7-A56D	AKT1	0.01665	FALSE
TCGA-A7-A5ZV	AKT1	0.01525	FALSE
TCGA-A7-A5ZW	AKT1	0.0121	FALSE
TCGA-A7-A5ZX	AKT1	0.0133	FALSE
TCGA-A7-A6VV	AKT1	0.01775	FALSE
TCGA-A7-A6VW	AKT1	0.02435	FALSE
TCGA-A7-A6VX	AKT1	0.02085	FALSE
TCGA-A7-A6VY	AKT1	0.02025	FALSE
TCGA-A8-A075	AKT1	0.014849999999999999	FALSE
TCGA-A8-A08O	AKT1	0.01635	FALSE
TCGA-A8-A0A6	AKT1	0.0148	FALSE
TCGA-A8-A0AD	AKT1	0.01145	FALSE
TCGA-AC-A23C	AKT1	0.0221	FALSE
TCGA-AC-A23E	AKT1	0.02065	FALSE
TCGA-AC-A23G	AKT1	0.0143	FALSE
TCGA-AC-A23H	AKT1	0.01795	FALSE
TCGA-AC-A2B8	AKT1	0.0197	FALSE
TCGA-AC-A2BK	AKT1	0.05115	FALSE
TCGA-AC-A2BM	AKT1	0.0218	FALSE
TCGA-AC-A2FB	AKT1	0.0203	FALSE
TCGA-AC-A2FE	AKT1	0.0148	FALSE
TCGA-AC-A2FF	AKT1	0.019725	FALSE
TCGA-AC-A2FG	AKT1	0.019075	FALSE
TCGA-AC-A2FK	AKT1	0.0183	FALSE
TCGA-AC-A2FM	AKT1	0.014725	FALSE
TCGA-AC-A2FO	AKT1	0.0173	FALSE
TCGA-AC-A2QH	AKT1	0.03775	FALSE
TCGA-AC-A2QI	AKT1	0.0145	FALSE
TCGA-AC-A2QJ	AKT1	0.01655	FALSE
TCGA-AC-A3BB	AKT1	0.01335	FALSE
TCGA-AC-A3EH	AKT1	0.016550000000000002	FALSE
TCGA-AC-A3HN	AKT1	0.01565	FALSE
TCGA-AC-A3OD	AKT1	0.019975	FALSE
TCGA-AC-A3QP	AKT1	0.01775	FALSE
TCGA-AC-A3QQ	AKT1	0.01585	FALSE
TCGA-AC-A3TM	AKT1	0.01645	FALSE
TCGA-AC-A3TN	AKT1	0.0165	FALSE
TCGA-AC-A3W5	AKT1	0.01835	FALSE
TCGA-AC-A3W6	AKT1	0.018250000000000002	FALSE
TCGA-AC-A3W7	AKT1	0.01725	FALSE
TCGA-AC-A3YI	AKT1	0.01875	FALSE
TCGA-AC-A3YJ	AKT1	0.01505	FALSE
TCGA-AC-A4ZE	AKT1	0.0247	FALSE
TCGA-AC-A5EH	AKT1	0.0203	FALSE
TCGA-AC-A5EI	AKT1	0.017	FALSE
TCGA-AC-A5XS	AKT1	0.015099999999999999	FALSE
TCGA-AC-A5XU	AKT1	0.0185	FALSE
TCGA-AC-A62V	AKT1	0.0193	FALSE
TCGA-AC-A62X	AKT1	0.01605	FALSE
TCGA-AC-A62Y	AKT1	0.01675	FALSE
TCGA-AC-A6IV	AKT1	0.01855	FALSE
TCGA-AC-A6IW	AKT1	0.01745	FALSE
TCGA-AC-A6IX	AKT1	0.018425	FALSE
TCGA-AC-A6NO	AKT1	0.0186	FALSE
TCGA-AC-A7VB	AKT1	0.017349999999999997	FALSE
TCGA-AC-A7VC	AKT1	0.0199	FALSE
TCGA-AC-A8OP	AKT1	0.02145	FALSE
TCGA-AC-A8OQ	AKT1	0.02395	FALSE
TCGA-AC-A8OR	AKT1	0.01815	FALSE
TCGA-AC-A8OS	AKT1	0.0146	FALSE
TCGA-AN-A0XL	AKT1	0.01565	FALSE
TCGA-AN-A0XN	AKT1	0.0161	FALSE
TCGA-AN-A0XO	AKT1	0.0123	FALSE
TCGA-AN-A0XP	AKT1	0.01355	FALSE
TCGA-AN-A0XR	AKT1	0.01505	FALSE
TCGA-AN-A0XS	AKT1	0.0196	FALSE
TCGA-AN-A0XT	AKT1	0.01315	FALSE
TCGA-AN-A0XU	AKT1	0.013000000000000001	FALSE
TCGA-AN-A0XV	AKT1	0.013399999999999999	FALSE
TCGA-AN-A0XW	AKT1	0.013250000000000001	FALSE
TCGA-AO-A03L	AKT1	0.0154	FALSE
TCGA-AO-A03M	AKT1	0.02225	FALSE
TCGA-AO-A03N	AKT1	0.01155	FALSE
TCGA-AO-A03U	AKT1	0.01355	FALSE
TCGA-AO-A0JA	AKT1	0.01165	FALSE
TCGA-AO-A0JB	AKT1	0.010849999999999999	FALSE
TCGA-AO-A0JC	AKT1	0.012	FALSE
TCGA-AO-A0JD	AKT1	0.01105	FALSE
TCGA-AO-A0JE	AKT1	0.01325	FALSE
TCGA-AO-A0JF	AKT1	0.010950000000000001	FALSE
TCGA-AO-A0JG	AKT1	0.013600000000000001	FALSE
TCGA-AO-A0JI	AKT1	0.01195	FALSE
TCGA-AO-A0JJ	AKT1	0.0112	FALSE
TCGA-AO-A0JL	AKT1	0.01295	FALSE
TCGA-AO-A0JM	AKT1	0.013000000000000001	FALSE
TCGA-AO-A124	AKT1	0.01235	FALSE
TCGA-AO-A125	AKT1	0.0133	FALSE
TCGA-AO-A126	AKT1	0.012400000000000001	FALSE
TCGA-AO-A128	AKT1	0.01475	FALSE
TCGA-AO-A129	AKT1	0.01345	FALSE
TCGA-AO-A12B	AKT1	0.02535	FALSE
TCGA-AO-A12C	AKT1	0.014450000000000001	FALSE
TCGA-AO-A12E	AKT1	0.013649999999999999	FALSE
TCGA-AO-A12G	AKT1	0.013749999999999998	FALSE
TCGA-AO-A1KO	AKT1	0.01565	FALSE
TCGA-AO-A1KP	AKT1	0.0155	FALSE
TCGA-AO-A1KQ	AKT1	0.01575	FALSE
TCGA-AO-A1KR	AKT1	0.02135	FALSE
TCGA-AO-A1KS	AKT1	0.022199999999999998	FALSE
TCGA-AO-A1KT	AKT1	0.01705	FALSE
TCGA-AQ-A04H	AKT1	0.013850000000000001	FALSE
TCGA-AQ-A04L	AKT1	0.0167	FALSE
TCGA-AQ-A0Y5	AKT1	0.0194	FALSE
TCGA-AQ-A1H2	AKT1	0.01525	FALSE
TCGA-AQ-A1H3	AKT1	0.0149	FALSE
TCGA-AQ-A54N	AKT1	0.01745	FALSE
TCGA-AQ-A54O	AKT1	0.0183	FALSE
TCGA-AQ-A7U7	AKT1	0.01735	FALSE
TCGA-AR-A0TP	AKT1	0.0109	FALSE
TCGA-AR-A0TQ	AKT1	0.01785	FALSE
TCGA-AR-A0TR	AKT1	0.01355	FALSE
TCGA-AR-A0TT	AKT1	0.0143	FALSE
TCGA-AR-A0TU	AKT1	0.0124	FALSE
TCGA-AR-A0TV	AKT1	0.0166	FALSE
TCGA-AR-A0TW	AKT1	0.01435	FALSE
TCGA-AR-A0TX	AKT1	0.0182	FALSE
TCGA-AR-A0TZ	AKT1	0.01505	FALSE
TCGA-AR-A0U0	AKT1	0.0152	FALSE
TCGA-AR-A0U2	AKT1	0.014199999999999999	FALSE
TCGA-AR-A0U3	AKT1	0.012649999999999998	FALSE
TCGA-AR-A0U4	AKT1	0.012549999999999999	FALSE
TCGA-AR-A1AI	AKT1	0.01625	FALSE
TCGA-AR-A1AJ	AKT1	0.0187	FALSE
TCGA-AR-A1AK	AKT1	0.012549999999999999	FALSE
TCGA-AR-A1AL	AKT1	0.01425	FALSE
TCGA-AR-A1AM	AKT1	0.0172	FALSE
TCGA-AR-A1AN	AKT1	0.0122	FALSE
TCGA-AR-A1AO	AKT1	0.0131	FALSE
TCGA-AR-A1AP	AKT1	0.018000000000000002	FALSE
TCGA-AR-A1AQ	AKT1	0.015550000000000001	FALSE
TCGA-AR-A1AR	AKT1	0.0162	FALSE
TCGA-AR-A1AS	AKT1	0.012650000000000002	FALSE
TCGA-AR-A1AT	AKT1	0.02085	FALSE
TCGA-AR-A1AU	AKT1	0.0157	FALSE
TCGA-AR-A1AV	AKT1	0.0196	FALSE
TCGA-AR-A1AW	AKT1	0.01595	FALSE
TCGA-AR-A1AX	AKT1	0.013000000000000001	FALSE
TCGA-AR-A1AY	AKT1	0.01675	FALSE
TCGA-AR-A24H	AKT1	0.01645	FALSE
TCGA-AR-A24K	AKT1	0.0185	FALSE
TCGA-AR-A24L	AKT1	0.02035	FALSE
TCGA-AR-A24M	AKT1	0.0181	FALSE
TCGA-AR-A24N	AKT1	0.01695	FALSE
TCGA-AR-A24O	AKT1	0.017750000000000002	FALSE
TCGA-AR-A24P	AKT1	0.01805	FALSE
TCGA-AR-A24Q	AKT1	0.0226	FALSE
TCGA-AR-A24R	AKT1	0.01865	FALSE
TCGA-AR-A24S	AKT1	0.01955	FALSE
TCGA-AR-A24T	AKT1	0.01695	FALSE
TCGA-AR-A24U	AKT1	0.020749999999999998	FALSE
TCGA-AR-A24V	AKT1	0.01975	FALSE
TCGA-AR-A24W	AKT1	0.02005	FALSE
TCGA-AR-A24X	AKT1	0.01795	FALSE
TCGA-AR-A24Z	AKT1	0.0201	FALSE
TCGA-AR-A250	AKT1	0.0208	FALSE
TCGA-AR-A251	AKT1	0.020950000000000003	FALSE
TCGA-AR-A252	AKT1	0.0189	FALSE
TCGA-AR-A254	AKT1	0.017599999999999998	FALSE
TCGA-AR-A255	AKT1	0.0184	FALSE
TCGA-AR-A256	AKT1	0.0191	FALSE
TCGA-AR-A2LE	AKT1	0.0184	FALSE
TCGA-AR-A2LH	AKT1	0.0188	FALSE
